Testname: KC_OD600_24well
Date: 6/17/2022  Time: 12:17:06 PM
ID1: crm_predict_norm2  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.0593
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1
Cycle: 1
T[°C]: 30.0
A01:         -
A02:  1.180500
A03:  1.127000
A04:         -
A05:         -
A06:         -
B01:         -
B02:         -
B03:         -
B04:   .091900
B05:         -
B06:         -
C01:         -
C02:         -
C03:         -
C04:   .097300
C05:         -
C06:         -
D01:         -
D02:         -
D03:         -
D04:         -
D05:  1.295000
D06:  1.307100

