Testname: KC_NO2NO3_SCAN
Date: 6/23/2022  Time: 8:33:51 PM
ID1: CRM_predict_cycle2_t6_20220622_0810  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   1.341,   0.076
A02:   1.204,   0.070
A03:   1.220,   0.069
A04:   0.121,   0.067
A05:   0.126,   0.068
A06:   0.126,   0.068
A07:   0.642,   0.071
A08:   0.626,   0.071
A09:   0.554,   0.069
A10:   1.931,   0.201
A11:   1.826,   0.072
A12:   1.738,   0.071
B01:   1.378,   0.077
B02:   1.456,   0.069
B03:   1.518,   0.069
B04:   0.123,   0.068
B05:   0.125,   0.069
B06:   0.123,   0.066
B07:   0.164,   0.068
B08:   0.238,   0.068
B09:   0.124,   0.067
B10:   0.125,   0.067
B11:   0.125,   0.065
B12:   0.128,   0.070
C01:   2.283,   0.070
C02:   2.123,   0.067
C03:   2.343,   0.067
C04:   0.815,   0.067
C05:   0.977,   0.066
C06:   0.966,   0.064
C07:   1.927,   0.069
C08:   1.809,   0.070
C09:   1.774,   0.069
C10:   2.202,   0.070
C11:   2.263,   0.069
C12:   2.327,   0.069
D01:   2.521,   0.068
D02:   2.552,   0.069
D03:   2.555,   0.067
D04:   1.434,   0.068
D05:   1.431,   0.069
D06:   1.418,   0.068
D07:   1.672,   0.069
D08:   1.630,   0.069
D09:   1.711,   0.069
D10:   2.086,   0.068
D11:   2.370,   0.069
D12:   2.341,   0.086
E01:   3.328,   0.068
E02:   3.564,   0.069
E03:   3.536,   0.069
E04:   3.111,   0.068
E05:   3.103,   0.069
E06:   3.090,   0.071
E07:   2.869,   0.071
E08:   2.857,   0.070
E09:   2.899,   0.070
E10:   2.653,   0.070
E11:   2.661,   0.069
E12:   2.466,   0.067
F01:   3.292,   0.067
F02:   3.312,   0.069
F03:   3.322,   0.070
F04:   3.052,   0.068
F05:   3.116,   0.068
F06:   3.081,   0.070
F07:   2.815,   0.070
F08:   2.799,   0.070
F09:   2.818,   0.068
F10:   2.702,   0.070
F11:   2.661,   0.069
F12:   2.624,   0.069
G01:   3.870,   0.067
G02:   4.099,   0.067
G03:   3.773,   0.067
G04:   3.782,   0.067
G05:   3.761,   0.069
G06:   3.670,   0.067
G07:   3.798,   0.067
G08:   3.591,   0.069
G09:   3.793,   0.066
G10:   3.481,   0.067
G11:   3.360,   0.068
G12:   3.719,   0.342
H01:   0.676,   0.070
H02:   0.672,   0.070
H03:   0.725,   0.068
H04:   2.028,   0.067
H05:   2.003,   0.069
H06:   1.976,   0.070
H07:   3.043,   0.070
H08:   3.074,   0.068
H09:   3.010,   0.067
H10:   0.125,   0.066
H11:   0.123,   0.065
H12:   0.123,   0.063

