Testname: KC_NO2NO3_SCAN
Date: 9/12/2022  Time: 10:08:47 PM
ID1: drex_3_c2_t7_20220908_1721  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   0.134,   0.067
A02:   0.138,   0.070
A03:   0.141,   0.069
A04:   0.141,   0.068
A05:   0.140,   0.069
A06:   0.139,   0.068
A07:   0.140,   0.071
A08:   0.132,   0.069
A09:   0.142,   0.070
A10:   0.075,   0.058
A11:   0.080,   0.056
A12:   0.077,   0.053
B01:   0.133,   0.068
B02:   0.135,   0.068
B03:   0.137,   0.069
B04:   1.456,   0.072
B05:   1.294,   0.072
B06:   1.186,   0.068
B07:   2.906,   0.069
B08:   2.447,   0.071
B09:   2.904,   0.075
B10:   0.076,   0.054
B11:   0.080,   0.056
B12:   0.074,   0.055
C01:   0.139,   0.069
C02:   0.137,   0.070
C03:   0.156,   0.072
C04:   0.136,   0.070
C05:   0.134,   0.069
C06:   0.135,   0.069
C07:   0.143,   0.073
C08:   0.145,   0.073
C09:   0.144,   0.074
C10:   0.084,   0.058
C11:   0.086,   0.059
C12:   0.084,   0.059
D01:   0.140,   0.070
D02:   0.137,   0.071
D03:   0.135,   0.069
D04:   0.991,   0.070
D05:   0.951,   0.069
D06:   0.763,   0.068
D07:   2.431,   0.071
D08:   2.047,   0.071
D09:   2.070,   0.073
D10:   0.085,   0.059
D11:   0.082,   0.057
D12:   0.082,   0.056
E01:   1.975,   0.070
E02:   1.971,   0.071
E03:   1.982,   0.072
E04:   1.977,   0.070
E05:   2.067,   0.071
E06:   1.991,   0.071
E07:   2.002,   0.072
E08:   1.986,   0.071
E09:   1.987,   0.073
E10:   0.085,   0.058
E11:   0.085,   0.059
E12:   0.084,   0.058
F01:   0.058,   0.049
F02:   0.060,   0.050
F03:   0.059,   0.048
F04:   0.059,   0.049
F05:   0.059,   0.049
F06:   0.059,   0.048
F07:   0.061,   0.050
F08:   0.059,   0.049
F09:   0.059,   0.049
F10:   0.059,   0.049
F11:   0.059,   0.049
F12:   0.058,   0.047
G01:   0.058,   0.049
G02:   0.059,   0.047
G03:   0.059,   0.048
G04:   0.059,   0.048
G05:   0.060,   0.048
G06:   0.059,   0.048
G07:   0.060,   0.047
G08:   0.059,   0.048
G09:   0.058,   0.048
G10:   0.058,   0.048
G11:   0.058,   0.047
G12:   0.059,   0.048
H01:   0.066,   0.056
H02:   0.059,   0.048
H03:   0.058,   0.048
H04:   0.059,   0.049
H05:   0.058,   0.049
H06:   0.058,   0.049
H07:   0.058,   0.047
H08:   0.058,   0.048
H09:   0.057,   0.050
H10:   0.058,   0.048
H11:   0.058,   0.047
H12:   0.059,   0.049

