,pH,Ca,Mg,P,K,N,C,d15N,d13C,C/N,DistEqu,moisture,MAP,MAT,PET,Fire,NPP,SoilC_from_database
S031,4.87,2.5982,2.69,1.8618,2.8182,1.5799,26.0527,1.3189,-26.2632,16.49,43.3766,2.1046,2.96,1.88,1.5769,2,0.588,0.63
S032,3.65,3.0209,2.3186,1.0515,2.3704,0.9086,14.07,1.86,-26.89,15.49,43.1004,2.069,2.9031,5.4333,1.6686,1.0414,0.595,5.427
S036,6.75,2.4567,2.85,0.2082,2.4279,1.6334,17.0695,3.3618,-27.5968,10.45,21.2102,1.7506,3.02,25.3,2.1005,2,0.564,0.8
S037,5.18,3.1606,1.9479,1.8468,2.0831,0.75,13.13,0.21,-27.49,17.51,43.2885,2.1415,3.1878,4.0583,1.6274,2.0043,0.581,8.907
S041,4.13,2.8204,1.99,1.5213,2.3622,0.9908,17.39,0.01,-27.21,17.55,24.1626,2.1606,3.6208,7.4167,1.7958,1.0414,1.166,4.349
S043,6.49,2.27,2.73,1.7307,2.6706,0.6079,8.6392,2.6155,-26.9825,14.21,38.34,1.7954,2.54,7.52,1.6299,1.699,0.519,0.44
S044,6.76,3.5907,2.4946,2.1072,2.5798,0.5777,7.6,2.63,-28.53,13.16,37.43,1.9838,3.1031,15.9917,1.8624,1.7076,0.539,5.868
S045,4.27,2.9612,2.83,1.2311,2.3439,1.6113,28.9297,0.934,-29.381,17.95,18.3167,1.4982,3.42,23.03,2.0607,2,0.506,0.74
S049,3.83,2.7909,2.5253,0.5639,2.0603,0.7644,13.52,0.61,-28.97,17.69,18.321,1.4982,3.4228,23.0333,2.0607,2.0043,0.506,5.497
S052,7.08,3.6075,2.2315,1.4156,2.6741,0.3705,8.65,3.08,-15.03,23.35,30.1366,1.6505,2.3263,19.725,1.7761,0.7782,0.124,2.682
S053,7.06,3.5966,2.14,1.3284,2.587,0.5731,12.5238,-0.738,-19.0804,21.85,30.7324,1.5859,2.34,13.54,1.794,0.699,0.124,0.44
S056,2.67,2.0292,1.9142,0.8678,1.9678,0.5018,12.98,-0.06,-28.78,25.87,5.4357,2.1652,3.2918,22.5083,1.8637,1.8808,1.089,4.033
S058,3.16,2.0922,1.7734,1.0915,2.0945,0.5017,9.12,3.8,-28.42,18.18,5.3053,2.1727,3.3341,22.9167,1.8806,2.0043,1.029,5.978
S061,2.92,3.4682,1.95,1.2723,2.2358,0.8166,15.2566,2.521,-28.4942,18.68,5.3057,2.1727,3.34,22.91,1.8806,2,1.029,0.78
S062,4.97,3.136,2.5077,0.1531,2.4164,0.4798,7.82,0.8,-27.27,16.30,37.7322,1.962,2.9058,14.5417,1.7828,1.4914,0.951,7.663
S063,3.69,2.4526,1.8531,0.6133,2.4353,0.6575,12.39,1.16,-27.5,18.84,37.4883,1.9675,3.2634,10.075,1.7731,2.0043,0.951,7.615
S068,4.15,2.1258,1.652,1.1604,1.9568,0.3173,4.57,3.5,-24.64,14.40,20.0186,1.4112,2.7143,18.5417,1.8914,0.1761,0.109,3.44
S069,3.52,3.6554,1.26,1.0364,1.6259,0.2581,3.5541,5.6593,-28.6745,13.77,3.3536,2.0069,3.26,23.71,1.9921,2,0.952,0.8
S070a,3.37,3.4082,1.69,0.8539,1.6825,0.2127,2.7293,7.1155,-29.0796,12.83,3.3673,2.0069,3.26,23.68,1.9921,2,0.952,0.8
S072,6.19,2.8103,1.8987,1.797,1.5831,0.0829,1.03,0.72,-27.55,12.42,29.7352,2.0112,3.1418,20.2917,1.9531,2.0043,0.535,5.235
S073,3.5,2.631,2.4154,1.4067,2.5795,1.1765,31.03,-1.66,-28.99,26.37,44.0744,1.9036,3.4479,9.1167,1.619,2.0043,0.804,5.265
S075,5.46,3.3476,2.15,0.2318,2.0955,0.3125,6.7093,3.6334,-27.2418,21.47,41.0832,2.1687,3.14,8.58,1.6578,2,0.526,0.98
S079,5.2,3.457,2.27,-0.0023,2.1478,0.5512,9.5964,2.2718,-28.1041,17.41,40.13,2.1124,3.18,9.15,1.5998,2,0.531,1.06
S081,4.92,3.0784,2.4201,0.8834,2.1962,0.5448,8.88,1.53,-27.85,16.30,40.1269,2.1124,3.1626,8.45,1.5998,2.0043,0.531,11.483
S085,4.16,2.6564,2.19,1.7592,2.3668,0.296,7.1359,-3.5279,-27.2542,24.11,41.1976,2.1687,3.13,5.17,1.6578,2,0.526,0.98
S089,4.92,3.0996,2.3205,2.081,2.3259,0.3167,7.05,0.13,-27.26,22.26,42.7813,1.7784,2.8774,5.9667,1.5273,2.0043,0.56,5.273
S092,4.21,3.2853,2.4954,1.3857,2.5644,0.4527,8.48,2.68,-27.43,18.73,54.4811,1.7989,2.6107,4.6583,1.6512,2.0043,0.5,11.97
S094,4.4,3.3517,2.4501,1.709,2.4755,0.6082,12.74,1.65,-27.41,20.95,54.4795,1.7989,2.6107,4.6583,1.6512,2.0043,0.5,11.97
S096,4.88,3.3408,2.5582,1.6415,2.4122,0.9568,18.27,0.65,-27.41,19.09,44.8326,2.0657,2.9479,5.4833,1.5499,2.0043,0.804,11.121
S097,3.39,1.9698,1.4411,0.3013,1.4937,0.1652,2.61,2.41,-29.78,15.80,2.982,1.8899,3.3141,2.64,2.1577,2.0043,0.997,5.112
S098,3.87,2.0155,1.4769,-0.173,1.5575,0.2163,3.04,2.98,-27.82,14.05,6.425,2.1665,3.5425,23.8333,2.1072,2.0043,1.142,6.457
S099,3.81,2.6597,1.36,-0.2102,1.4127,0.3303,5.0624,2.4754,-28.0017,15.33,6.4178,2.1665,3.54,23.83,2.1072,2,1.142,0.81
