Testname: KC_NO2NO3_SCAN
Date: 5/17/2022  Time: 7:22:22 PM
ID1: Nar_Nap_mvc_cycle3_t2_20220513_1557  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   2.590,   0.074
A02:   2.622,   0.072
A03:   2.604,   0.072
A04:   2.641,   0.075
A05:   2.634,   0.075
A06:   2.755,   0.073
A07:   2.678,   0.072
A08:   2.599,   0.075
A09:   2.659,   0.174
A10:   2.619,   0.080
A11:   2.929,   0.076
A12:   2.939,   0.073
B01:   2.568,   0.071
B02:   2.588,   0.070
B03:   2.711,   0.071
B04:   2.724,   0.072
B05:   3.027,   0.073
B06:   3.090,   0.070
B07:   2.910,   0.072
B08:   3.143,   0.367
B09:   3.280,   0.071
B10:   3.346,   0.071
B11:   3.108,   0.070
B12:   3.325,   0.341
C01:   2.841,   0.073
C02:   3.017,   0.071
C03:   2.631,   0.072
C04:   2.579,   0.074
C05:   2.604,   0.073
C06:   2.666,   0.072
C07:   2.929,   0.072
C08:   2.942,   0.071
C09:   2.553,   0.080
C10:   2.529,   0.070
C11:   2.529,   0.072
C12:   2.504,   0.071
D01:   2.498,   0.070
D02:   2.524,   0.072
D03:   2.431,   0.071
D04:   2.548,   0.072
D05:   2.561,   0.073
D06:   2.621,   0.072
D07:   2.534,   0.071
D08:   2.549,   0.072
D09:   3.009,   0.537
D10:   2.561,   0.071
D11:   3.379,   0.585
D12:   3.172,   0.604
E01:   2.535,   0.071
E02:   2.600,   0.072
E03:   2.527,   0.072
E04:   2.547,   0.071
E05:   2.594,   0.073
E06:   2.630,   0.083
E07:   2.616,   0.072
E08:   2.595,   0.074
E09:   2.659,   0.072
E10:   2.630,   0.073
E11:   2.818,   0.072
E12:   2.783,   0.069
F01:   2.674,   0.073
F02:   2.658,   0.074
F03:   2.625,   0.072
F04:   2.674,   0.071
F05:   3.088,   0.072
F06:   3.142,   0.073
F07:   2.872,   0.072
F08:   2.888,   0.071
F09:   3.017,   0.070
F10:   2.833,   0.072
F11:   3.410,   0.070
F12:   3.588,   0.377
G01:   2.657,   0.073
G02:   2.607,   0.073
G03:   2.575,   0.070
G04:   2.635,   0.071
G05:   3.021,   0.071
G06:   3.110,   0.072
G07:   2.860,   0.069
G08:   2.870,   0.071
G09:   2.833,   0.071
G10:   2.844,   0.071
G11:   3.408,   0.072
G12:   3.323,   0.070
H01:   0.123,   0.070
H02:   0.123,   0.068
H03:   0.123,   0.068
H04:   0.121,   0.067
H05:   0.659,   0.073
H06:   0.679,   0.084
H07:   3.427,   0.071
H08:   3.726,   0.321
H09:   3.503,   0.071
H10:   3.389,   0.070
H11:   3.384,   0.069
H12:   3.381,   0.085

