Testname: KC_NO2NO3_SCAN
Date: 5/23/2022  Time: 10:44:52 PM
ID1: Nar_Nap_mvc_cycle5_t3_20220519_1802  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   2.528,   0.079
A02:   2.485,   0.077
A03:   2.578,   0.078
A04:   2.549,   0.077
A05:   2.893,   0.079
A06:   2.986,   0.077
A07:   2.130,   0.077
A08:   1.929,   0.078
A09:   1.908,   0.078
A10:   1.941,   0.080
A11:   2.924,   0.077
A12:   2.944,   0.079
B01:   2.552,   0.077
B02:   2.627,   0.076
B03:   2.859,   0.075
B04:   2.920,   0.076
B05:   3.076,   0.075
B06:   3.145,   0.075
B07:   2.722,   0.073
B08:   2.768,   0.076
B09:   3.364,   0.075
B10:   3.459,   0.076
B11:   2.932,   0.074
B12:   2.875,   0.075
C01:   2.862,   0.077
C02:   3.166,   0.075
C03:   2.552,   0.074
C04:   2.582,   0.078
C05:   2.603,   0.076
C06:   2.628,   0.076
C07:   2.958,   0.074
C08:   2.973,   0.077
C09:   1.964,   0.075
C10:   1.971,   0.074
C11:   1.986,   0.074
C12:   1.998,   0.074
D01:   2.557,   0.074
D02:   2.591,   0.075
D03:   2.497,   0.076
D04:   2.573,   0.076
D05:   2.584,   0.077
D06:   2.619,   0.100
D07:   1.956,   0.078
D08:   1.962,   0.076
D09:   1.973,   0.074
D10:   1.927,   0.079
D11:   1.988,   0.076
D12:   1.895,   0.075
E01:   2.579,   0.075
E02:   2.618,   0.076
E03:   2.550,   0.076
E04:   2.566,   0.075
E05:   2.706,   0.075
E06:   2.658,   0.075
E07:   1.921,   0.077
E08:   1.964,   0.078
E09:   1.987,   0.073
E10:   1.925,   0.076
E11:   2.047,   0.076
E12:   1.976,   0.074
F01:   2.617,   0.074
F02:   2.691,   0.074
F03:   2.610,   0.076
F04:   2.637,   0.075
F05:   3.169,   0.076
F06:   3.176,   0.076
F07:   2.784,   0.082
F08:   2.810,   0.077
F09:   2.776,   0.074
F10:   2.772,   0.147
F11:   3.460,   0.076
F12:   3.431,   0.077
G01:   2.590,   0.074
G02:   2.602,   0.077
G03:   2.653,   0.074
G04:   2.604,   0.076
G05:   3.166,   0.077
G06:   3.132,   0.076
G07:   2.813,   0.075
G08:   2.755,   0.076
G09:   2.867,   0.078
G10:   2.828,   0.077
G11:   3.370,   0.074
G12:   3.371,   0.075
H01:   0.142,   0.075
H02:   0.143,   0.073
H03:   0.140,   0.072
H04:   0.137,   0.072
H05:   0.680,   0.076
H06:   0.680,   0.075
H07:   3.404,   0.073
H08:   3.413,   0.073
H09:   3.389,   0.072
H10:   3.463,   0.074
H11:   3.401,   0.071
H12:   3.411,   0.076

