Testname: KC_NO2NO3_SCAN
Date: 5/17/2022  Time: 7:48:50 PM
ID1: Nar_Nap_mvc_cycle3_t8_20220516_1306  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   0.119,   0.074
A02:   0.122,   0.072
A03:   0.120,   0.071
A04:   0.122,   0.073
A05:   1.207,   0.081
A06:   1.733,   0.076
A07:   0.126,   0.073
A08:   0.129,   0.076
A09:   0.121,   0.072
A10:   0.490,   0.382
A11:   0.127,   0.076
A12:   0.281,   0.187
B01:   0.121,   0.069
B02:   0.123,   0.072
B03:   1.260,   0.070
B04:   1.540,   0.073
B05:   3.415,   0.073
B06:   3.511,   0.079
B07:   0.127,   0.071
B08:   0.122,   0.071
B09:   2.987,   0.126
B10:   3.853,   0.073
B11:   0.129,   0.076
B12:   0.132,   0.075
C01:   2.547,   0.076
C02:   3.412,   0.072
C03:   0.123,   0.070
C04:   0.125,   0.073
C05:   0.124,   0.072
C06:   0.124,   0.070
C07:   0.127,   0.071
C08:   0.130,   0.074
C09:   0.129,   0.074
C10:   0.126,   0.071
C11:   0.129,   0.071
C12:   0.129,   0.071
D01:   0.133,   0.080
D02:   0.122,   0.072
D03:   0.122,   0.071
D04:   0.122,   0.073
D05:   0.124,   0.075
D06:   0.123,   0.072
D07:   0.128,   0.073
D08:   0.125,   0.073
D09:   0.126,   0.072
D10:   0.130,   0.073
D11:   0.128,   0.072
D12:   0.126,   0.070
E01:   0.124,   0.071
E02:   0.122,   0.072
E03:   0.132,   0.079
E04:   0.128,   0.071
E05:   0.175,   0.074
E06:   0.122,   0.073
E07:   0.125,   0.073
E08:   0.128,   0.073
E09:   0.133,   0.074
E10:   0.127,   0.073
E11:   0.131,   0.071
E12:   0.128,   0.070
F01:   0.123,   0.069
F02:   0.120,   0.071
F03:   0.123,   0.072
F04:   0.134,   0.079
F05:   3.494,   0.075
F06:   3.510,   0.074
F07:   0.126,   0.074
F08:   0.130,   0.073
F09:   0.132,   0.073
F10:   0.130,   0.071
F11:   3.858,   0.073
F12:   3.770,   0.073
G01:   0.136,   0.081
G02:   0.124,   0.072
G03:   0.124,   0.070
G04:   0.125,   0.071
G05:   3.556,   0.074
G06:   3.469,   0.075
G07:   0.130,   0.070
G08:   0.129,   0.073
G09:   0.129,   0.071
G10:   0.117,   0.081
G11:   3.888,   0.074
G12:   3.870,   0.072
H01:   0.125,   0.070
H02:   0.126,   0.072
H03:   0.133,   0.076
H04:   0.125,   0.070
H05:   0.759,   0.071
H06:   0.757,   0.070
H07:   3.958,   0.073
H08:   3.794,   0.071
H09:   3.841,   0.072
H10:   3.896,   0.074
H11:   3.928,   0.071
H12:   3.910,   0.073

