Testname: KC_OD600_Greiner
Date: 5/22/2022  Time: 7:30:02 PM
ID1: KC_NarG_NapA_co_vs_mono_cycle5_endpoint  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.1337
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1
Cycle: 1
A01:   .073700
A02:   .071100
A03:   .081500
A04:   .075700
A05:   .040700
A06:   .033400
A07:   .114800
A08:   .119400
A09:   .120200
A10:   .114900
A11:   .089500
A12:   .089700
B01:   .069400
B02:   .068200
B03:   .080500
B04:   .068200
B05:   .062600
B06:   .078500
B07:   .099200
B08:   .107500
B09:   .037700
B10:   .034500
B11:   .150900
B12:   .154500
C01:   .090800
C02:   .033500
C03:   .076500
C04:   .072600
C05:   .074800
C06:   .068500
C07:   .087500
C08:   .077600
C09:   .120100
C10:   .119300
C11:   .117800
C12:   .118800
D01:   .073200
D02:   .072400
D03:   .065500
D04:   .068700
D05:   .081000
D06:   .077900
D07:   .118600
D08:   .119800
D09:   .121800
D10:   .119600
D11:   .116800
D12:   .119900
E01:   .072900
E02:   .086900
E03:   .140700
E04:   .141100
E05:   .060200
E06:   .059400
E07:   .120400
E08:   .125300
E09:   .123100
E10:   .124500
E11:   .119400
E12:   .118600
F01:   .065100
F02:   .074400
F03:   .067600
F04:   .067300
F05:   .033700
F06:   .034000
F07:   .100700
F08:   .100200
F09:   .096500
F10:   .101500
F11:   .034500
F12:   .033400
G01:   .064900
G02:   .067000
G03:   .091100
G04:   .067700
G05:   .033700
G06:   .033600
G07:   .096100
G08:   .097200
G09:   .097000
G10:   .096500
G11:   .033500
G12:   .035900
H01:   .034600
H02:   .035100
H03:   .034700
H04:   .033200
H05:   .034200
H06:   .034500
H07:   .033200
H08:   .033000
H09:   .033500
H10:   .032500
H11:   .033600
H12:   .033200

