Testname: KC_NO2NO3_SCAN
Date: 5/17/2022  Time: 7:44:38 PM
ID1: Nar_Nap_mvc_cycle3_t7_20220515_1908  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   0.121,   0.072
A02:   0.125,   0.071
A03:   0.120,   0.071
A04:   0.123,   0.072
A05:   2.029,   0.073
A06:   2.315,   0.072
A07:   0.125,   0.072
A08:   0.126,   0.070
A09:   0.124,   0.069
A10:   0.123,   0.072
A11:   0.124,   0.071
A12:   0.286,   0.233
B01:   0.122,   0.069
B02:   0.178,   0.070
B03:   2.048,   0.073
B04:   2.200,   0.072
B05:   3.359,   0.072
B06:   3.366,   0.072
B07:   0.124,   0.069
B08:   0.127,   0.070
B09:   3.081,   0.072
B10:   3.602,   0.115
B11:   0.128,   0.071
B12:   0.132,   0.071
C01:   2.771,   0.074
C02:   3.322,   0.078
C03:   0.126,   0.070
C04:   0.126,   0.072
C05:   0.124,   0.074
C06:   0.126,   0.071
C07:   0.125,   0.072
C08:   0.126,   0.072
C09:   0.176,   0.112
C10:   0.125,   0.071
C11:   0.301,   0.247
C12:   0.137,   0.080
D01:   0.123,   0.071
D02:   0.126,   0.074
D03:   0.151,   0.100
D04:   0.122,   0.073
D05:   0.126,   0.072
D06:   0.123,   0.070
D07:   0.128,   0.072
D08:   0.123,   0.071
D09:   0.128,   0.072
D10:   0.127,   0.073
D11:   0.126,   0.073
D12:   0.130,   0.070
E01:   0.126,   0.072
E02:   0.127,   0.071
E03:   0.130,   0.074
E04:   0.128,   0.073
E05:   0.129,   0.072
E06:   0.127,   0.074
E07:   0.129,   0.072
E08:   0.139,   0.071
E09:   0.128,   0.072
E10:   0.131,   0.072
E11:   0.128,   0.073
E12:   0.128,   0.071
F01:   0.127,   0.069
F02:   0.123,   0.070
F03:   0.123,   0.072
F04:   0.127,   0.070
F05:   3.379,   0.071
F06:   3.434,   0.073
F07:   0.124,   0.071
F08:   0.126,   0.071
F09:   0.126,   0.068
F10:   0.130,   0.071
F11:   3.635,   0.070
F12:   3.730,   0.070
G01:   0.126,   0.069
G02:   0.127,   0.070
G03:   0.125,   0.069
G04:   0.125,   0.070
G05:   3.416,   0.072
G06:   3.428,   0.071
G07:   0.136,   0.069
G08:   0.131,   0.070
G09:   0.127,   0.069
G10:   0.130,   0.070
G11:   3.650,   0.070
G12:   3.675,   0.144
H01:   0.126,   0.070
H02:   0.128,   0.070
H03:   0.123,   0.068
H04:   0.127,   0.069
H05:   0.742,   0.070
H06:   0.732,   0.070
H07:   3.797,   0.073
H08:   3.707,   0.072
H09:   3.705,   0.072
H10:   3.773,   0.071
H11:   3.750,   0.071
H12:   3.816,   0.077

