Testname: KC_NO2NO3_SCAN
Date: 5/12/2022  Time: 8:40:48 PM
ID1: Nar_Nap_mvc_cycle2_t1_20220510_1405  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   2.722,   0.073
A02:   2.703,   0.076
A03:   2.596,   0.074
A04:   2.605,   0.072
A05:   2.657,   0.119
A06:   2.706,   0.072
A07:   2.985,   0.187
A08:   2.784,   0.073
A09:   2.856,   0.071
A10:   2.810,   0.071
A11:   2.915,   0.072
A12:   2.971,   0.079
B01:   2.577,   0.071
B02:   2.623,   0.069
B03:   2.692,   0.069
B04:   2.657,   0.070
B05:   3.008,   0.070
B06:   3.019,   0.068
B07:   2.851,   0.069
B08:   2.690,   0.070
B09:   3.087,   0.075
B10:   3.284,   0.070
B11:   3.305,   0.070
B12:   3.278,   0.147
C01:   2.743,   0.071
C02:   2.933,   0.070
C03:   2.621,   0.070
C04:   3.170,   0.660
C05:   2.629,   0.071
C06:   2.579,   0.100
C07:   2.949,   0.071
C08:   2.949,   0.072
C09:   2.867,   0.078
C10:   2.690,   0.071
C11:   3.303,   0.540
C12:   2.761,   0.073
D01:   2.871,   0.296
D02:   2.578,   0.075
D03:   2.644,   0.071
D04:   2.661,   0.071
D05:   2.642,   0.072
D06:   2.581,   0.071
D07:   2.808,   0.071
D08:   3.795,   1.004
D09:   2.809,   0.071
D10:   2.804,   0.071
D11:   2.897,   0.072
D12:   2.915,   0.069
E01:   2.590,   0.069
E02:   2.737,   0.071
E03:   2.617,   0.072
E04:   2.622,   0.070
E05:   2.663,   0.070
E06:   2.675,   0.072
E07:   2.863,   0.075
E08:   2.860,   0.071
E09:   2.876,   0.070
E10:   2.862,   0.072
E11:   2.960,   0.069
E12:   2.917,   0.069
F01:   2.611,   0.069
F02:   2.591,   0.069
F03:   2.581,   0.069
F04:   2.615,   0.070
F05:   3.061,   0.069
F06:   3.066,   0.071
F07:   2.903,   0.071
F08:   2.879,   0.070
F09:   2.882,   0.070
F10:   3.348,   0.507
F11:   3.331,   0.110
F12:   3.374,   0.076
G01:   2.653,   0.068
G02:   2.607,   0.070
G03:   2.609,   0.068
G04:   2.599,   0.069
G05:   3.076,   0.073
G06:   3.051,   0.072
G07:   2.842,   0.071
G08:   3.476,   0.761
G09:   2.882,   0.072
G10:   2.889,   0.070
G11:   3.338,   0.068
G12:   3.313,   0.069
H01:   0.146,   0.066
H02:   0.142,   0.067
H03:   0.143,   0.067
H04:   0.143,   0.067
H05:   0.670,   0.071
H06:   0.649,   0.068
H07:   3.324,   0.069
H08:   3.294,   0.067
H09:   3.313,   0.069
H10:   3.346,   0.068
H11:   3.363,   0.067
H12:   3.320,   0.068

