Testname: KC_NO2NO3_SCAN
Date: 5/23/2022  Time: 11:08:51 PM
ID1: Nar_Nap_mvc_cycle5_t8_20220522_1853  ID2:   ID3: 
No. of Channels / Multichromatics: 2
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 540nm                                          0/0     1.3605
  2: 900nm                                          0/0     1.3605
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -

Chromatic / Channel: 1...2
Interval: 1
Time [s]: 0
A01:   0.138,   0.074
A02:   0.138,   0.073
A03:   0.138,   0.074
A04:   0.138,   0.072
A05:   2.313,   0.075
A06:   3.427,   0.075
A07:   0.141,   0.073
A08:   0.142,   0.075
A09:   0.140,   0.073
A10:   0.144,   0.075
A11:   0.141,   0.076
A12:   0.149,   0.077
B01:   0.140,   0.071
B02:   0.139,   0.070
B03:   0.138,   0.070
B04:   1.200,   0.074
B05:   2.683,   0.074
B06:   2.390,   0.073
B07:   0.142,   0.073
B08:   0.142,   0.074
B09:   3.553,   0.074
B10:   3.851,   0.071
B11:   0.145,   0.073
B12:   0.149,   0.075
C01:   0.140,   0.075
C02:   3.555,   0.071
C03:   0.140,   0.072
C04:   0.141,   0.073
C05:   0.142,   0.075
C06:   0.143,   0.074
C07:   0.143,   0.073
C08:   0.143,   0.072
C09:   0.144,   0.075
C10:   0.147,   0.076
C11:   0.145,   0.072
C12:   0.150,   0.076
D01:   0.140,   0.070
D02:   0.142,   0.072
D03:   0.140,   0.072
D04:   0.139,   0.071
D05:   0.139,   0.074
D06:   0.137,   0.072
D07:   0.142,   0.072
D08:   0.143,   0.074
D09:   0.142,   0.074
D10:   0.143,   0.074
D11:   0.145,   0.074
D12:   0.147,   0.073
E01:   0.151,   0.080
E02:   0.142,   0.072
E03:   0.144,   0.074
E04:   0.145,   0.073
E05:   0.139,   0.072
E06:   0.138,   0.072
E07:   0.144,   0.074
E08:   0.142,   0.075
E09:   0.143,   0.073
E10:   0.147,   0.075
E11:   0.144,   0.074
E12:   0.147,   0.071
F01:   0.141,   0.070
F02:   0.142,   0.071
F03:   0.140,   0.071
F04:   0.149,   0.071
F05:   3.599,   0.073
F06:   3.626,   0.074
F07:   0.144,   0.074
F08:   0.140,   0.072
F09:   0.143,   0.072
F10:   0.145,   0.075
F11:   3.882,   0.076
F12:   3.973,   0.072
G01:   0.141,   0.070
G02:   0.140,   0.071
G03:   0.148,   0.074
G04:   0.143,   0.073
G05:   3.707,   0.072
G06:   3.705,   0.075
G07:   0.143,   0.071
G08:   0.146,   0.074
G09:   0.149,   0.072
G10:   0.146,   0.073
G11:   4.010,   0.071
G12:   3.955,   0.072
H01:   0.140,   0.070
H02:   0.138,   0.072
H03:   0.143,   0.071
H04:   0.141,   0.070
H05:   0.769,   0.072
H06:   0.765,   0.072
H07:   4.102,   0.073
H08:   3.976,   0.076
H09:   3.927,   0.073
H10:   4.007,   0.071
H11:   3.926,   0.074
H12:   4.049,   0.072

